"Step","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': False, 'alpha': 0.6, 'beta': 0.4} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'current_vs_next', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MIN","buffer: {'buffer_size': 100000, 'batch_size': 256, 'scratch_dir': None, 'prioritized_replay': True, 'alpha': 0.6, 'beta': 0.4, 'mico_priority': {'priority_type': 'all_vs_all', 'priority_weight': 1.0, 'normalize_priorities': True}} - train/episode_reward__MAX"
"256","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"512","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"640","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"896","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1024","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1280","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1408","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1664","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1920","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2048","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2304","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2432","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2688","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"2816","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"3072","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"3200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"3456","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"3712","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"3840","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"4096","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"4224","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"4480","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"4608","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"4864","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"5120","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"5248","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"5504","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"5632","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"5888","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"6016","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"6272","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"6400","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"6656","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"6912","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"7040","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200","-200"
